"objectid","dow","idn5","nm5","idn4","nm4","idn3","nm3","idn2","nm2","vymera","nuts1","nuts1_code","nuts2","nuts2_code","nuts3","nuts3_code","lau1","lau1_code","lau2","lau2_code","shape"
502,"2022-01-18 01:00:00+01",811548,"Dolná Krupá",506923,"Dolná Krupá",207,"Trnava",2,"Trnavský",24632114,"Slovensko","SK0","Západné Slovensko","SK02","Trnavský kraj","SK021","Trnava","SK0217","Dolná Krupá","SK0217506923","01060000208A150000010000000103000000010000008300000060B81E05166420C1A0999999C6FA32C12085EBD1B76420C1D0A370BD34FA32C180C2F5288D6620C1C0F5285C8FFA32C1A09999191E6920C150B81E4544FA32C140E17A140F6B20C1C01E852B8CFA32C1E0A3703D8A6E20C1C0F5285C9EFA32C1A0703D0AF26E20C1A0703DCAB0FA32C18014AE471A6F20C1D0CCCC4C9AFA32C12085EB51947020C1703D0AD7BAFA32C120AE47E1347320C150B81EC50FFB32C160666666137420C110D7A3F03CFB32C1400AD7A3157720C1D0A370FD60FC32C100D7A3709C7620C110D7A330D4FC32C100D7A370757520C110D7A3B07DFD32C1803D0AD7E57820C1D0A370FDCCFE32C1A0703D0AB77820C1400AD7E3F6FE32C1A0703D0AE87920C1400AD7E3A4FF32C1E0A3703D9A7920C1703D0A17E7FF32C1A0703D0AAC7920C1703D0A971C0033C1A0703D0A707A20C1305C8FC2720033C1E051B89EFB7920C110D7A330F30033C1C0F5285C907920C130333373040233C1A09999998C7920C1D0A370BDCA0233C1E07A14AECC7820C150B81E852A0433C180C2F5A8EE7720C1608FC2F5AB0433C140E17A14337620C1F0285C0F4E0533C1E0A370BD997520C1608FC2F5B00533C1803D0A575B7420C1B047E13A160633C1205C8FC2677220C12085EB11760633C1A047E17A507020C18014AE071A0733C1C01E85EB5F6F20C1D0CCCCCC430733C1A0703D0A1C6D20C1000000405E0833C18014AE47326C20C180EB51F8380933C1C0F5285C2D6C20C1F051B81E880933C18014AE47016F20C110D7A3F0810A33C1400AD723677120C1A0703D8A970B33C160B81E85A47020C160666666F50B33C1A047E1FAC86F20C150B81E85880C33C1205C8FC2E46D20C110D7A3704D0E33C1606666E66F6D20C1A0703DCA9D0E33C1400AD7A3CC6C20C1606666E6E50E33C120AE47E1AB6B20C1D0CCCC8CA60F33C1205C8FC2356A20C1A0703D0A5D1033C120AE4761146720C110AE47A1AA1233C1400AD7238E6420C1C0F528DC8A1333C1E0A3703DC66720C1305C8F02511533C180EB51B8766620C1305C8F82321633C1E0A3703D2A6620C1F051B81E581633C180EB51B8106620C1F0285CCF4C1633C1E051B81EC56420C1305C8F42E31633C1E0A370BD826220C1D0CCCCCC631833C1E07A142E266220C1F0285C4FC91833C1E0A3703DF86120C18014AE072F1933C160B81E85926120C1A0703DCA841933C1E0A370BD316120C1400AD7A3311A33C160B81E05D36020C1305C8FC2831A33C1A047E1FA3B6020C1C0F5281C881A33C1A0703D0A875F20C1A0999999B81A33C160B81E85405F20C1F051B8DE671B33C180C2F5A8E45E20C18014AEC7AC1B33C1A0999999C85E20C1303333B3EE1B33C1C01E856BFD5E20C1C0F528DC081C33C1C01E856B0A5F20C1C0F528DC971C33C1A0999999AF5D20C140E17AD4111C33C1E051B89E895D20C110AE4761271C33C1C01E856B3C5B20C1B047E1FA551B33C12085EB510B5C20C1C01E856BCB1A33C1E051B81E3F5C20C180EB5138431A33C12085EB51D35C20C12085EBD1031A33C12085EB51F05C20C180EB5138DD1933C12085EB51C65D20C1C01E856B5F1933C1C01E85EBF75D20C1F051B89E021933C1E051B81E465E20C12085EBD1D21833C160B81E85B55E20C1606666E6301833C140E17A14FE5E20C150B81E45281833C12085EB519A5F20C190C2F5A88A1733C1E051B81ED55F20C1F051B89E771733C1C01E85EBC85F20C1C01E856B5D1733C1E0A3703D2F6020C1D0CCCC4CCC1633C1000000808A6120C1400AD7E3C41533C1E0A370BDC85D20C160666666331433C1A0999919B95B20C180EB51F87D1333C1C0CCCC4C3A5B20C18014AEC76E1333C120AE47612B5820C1D0A370BDE91133C180EB51383D5620C1C01E85AB361133C100000080C55420C150B81E85531233C140E17A948F5120C1F051B89E331133C140333333005220C12085EB91C21033C1C0CCCC4C935120C1C01E852B6C1033C1E0A3703D335120C1C01E852B491033C1803D0A57055120C1A0999959211033C1606666E6715120C140E17AD4E50F33C12085EB51BE5020C1400AD7E3A10D33C180EB5138CF4E20C160666626F10C33C1608FC275574E20C1608FC275B10C33C1400AD723884E20C1608FC2B5A50C33C1E07A14AE9D4E20C1F051B81E7E0C33C1C0F528DC844D20C1303333F3E30B33C1205C8F42094C20C110D7A3703B0B33C1C0CCCC4C464D20C1A0999959E80933C1C0CCCCCCC34F20C1F051B85E580833C140E17A94625020C1B047E13A170833C140333333415120C1A09999D9E30733C100D7A370265120C130333373990733C12085EB513A5120C1305C8F82410733C12085EBD1195220C1F051B89EBA0633C140E17A14F15220C1B047E1BA000633C1E0A3703DD15320C180EB51B8D10433C100D7A3F09F5520C1608FC2B5820333C100D7A3F0435620C1608FC2F5EA0233C1E07A142EDD5620C1F0285C4F940233C100D7A370695820C1A0703D8A2B0133C180C2F528165A20C1703D0AD7630033C1403333B3CE5A20C1C0F5289CE4FF32C160B81E05035C20C1E07A14EECDFE32C120AE47E1E05C20C1400AD7A34FFE32C1205C8FC2545D20C1606666E619FE32C1205C8FC2965E20C1F051B85EA4FE32C140E17A94D05E20C18014AE0752FE32C12085EB51385F20C1E07A142E2FFE32C140E17A144B5F20C12085EB110AFE32C1A047E17AD85F20C1606666A6B7FD32C1E051B89EE85F20C1703D0A5799FD32C1000000804C6020C1305C8F026BFD32C180EB51B8966020C1F051B81E18FD32C1C0CCCCCCE26020C1303333F307FD32C18014AE47376220C1606666A6FFFB32C1C0F528DC206320C1703D0A1786FB32C160B81E05086320C16066662667FB32C100295C0FB46320C1B047E1BAE7FA32C160B81E05166420C1A0999999C6FA32C1"
2861,"2022-01-18 01:00:00+01",861049,"Špačince",507601,"Špačince",207,"Trnava",2,"Trnavský",22103664,"Slovensko","SK0","Západné Slovensko","SK02","Trnavský kraj","SK021","Trnava","SK0217","Špačince","SK0217507601","01060000208A150000010000000103000000010000006600000000295C8F084820C110AE4761B40933C1C01E856BA94820C18014AE47450933C18014AE47194B20C18014AEC7C60A33C1205C8F42094C20C110D7A3703B0B33C1C0F528DC844D20C1303333F3E30B33C1E07A14AE9D4E20C1F051B81E7E0C33C1400AD723884E20C1608FC2B5A50C33C1608FC275574E20C1608FC275B10C33C180EB5138CF4E20C160666626F10C33C12085EB51BE5020C1400AD7E3A10D33C1606666E6715120C140E17AD4E50F33C1803D0A57055120C1A0999959211033C1E0A3703D335120C1C01E852B491033C1C0CCCC4C935120C1C01E852B6C1033C140333333005220C12085EB91C21033C140E17A948F5120C1F051B89E331133C100000080C55420C150B81E85531233C180EB51383D5620C1C01E85AB361133C120AE47612B5820C1D0A370BDE91133C1C0CCCC4C3A5B20C18014AEC76E1333C1A0999919B95B20C180EB51F87D1333C1E0A370BDC85D20C160666666331433C1000000808A6120C1400AD7E3C41533C1E0A3703D2F6020C1D0CCCC4CCC1633C1C01E85EBC85F20C1C01E856B5D1733C1E051B81ED55F20C1F051B89E771733C12085EB519A5F20C190C2F5A88A1733C140E17A14FE5E20C150B81E45281833C160B81E85B55E20C1606666E6301833C1E051B81E465E20C12085EBD1D21833C1C01E85EBF75D20C1F051B89E021933C12085EB51C65D20C1C01E856B5F1933C12085EB51F05C20C180EB5138DD1933C12085EB51D35C20C12085EBD1031A33C1E051B81E3F5C20C180EB5138431A33C12085EB510B5C20C1C01E856BCB1A33C1C01E856B3C5B20C1B047E1FA551B33C1E051B89E895D20C110AE4761271C33C1A0999999AF5D20C140E17AD4111C33C1C01E856B0A5F20C1C0F528DC971C33C100D7A3F0565F20C18014AE47B51C33C180EB51386C5F20C110D7A3702D1D33C180C2F5284D5F20C1B047E1FA771D33C1205C8FC26B5E20C130333333461E33C100D7A3F0665D20C1606666A69F1E33C160666666385C20C1A0703D8A481F33C18014AEC7E35B20C110D7A370241F33C1E07A142EC15B20C130333373811F33C1400AD7A3375B20C190C2F5289B1F33C1606666E6CD5A20C1D0A3703DCA1F33C100295C8F615A20C1C01E85AB0C2033C1803D0A573A5A20C1A09999D94C2033C1C0CCCC4C305420C1F0285C8FA71E33C180C2F5A8995320C100000040921E33C18014AEC7AC5220C1C0F5281C451E33C1E07A142E455120C1B047E1BAAC1F33C12085EB51864F20C1F051B89E512033C1E07A14AE004E20C1000000009F2033C1E051B89E0A4D20C1D0CCCCCCE52033C180C2F528A74C20C1D0A370FDD82033C180EB51B8784A20C12085EB11262133C1606666E69A4820C160666626B22133C1608FC2F5464520C1303333B3A82433C100D7A3F0764320C190C2F568CA2533C100000080493E20C180EB51B8692333C160B81E05BF3920C1F0285C4F872133C1205C8FC2893920C100000040D92133C160666666183920C1C0F5285CE62133C100295C8F1E3920C18014AEC7462233C120AE4761D83820C1606666E6792233C160666666BF3820C18014AEC7B02233C1A0703D0A5C3820C1608FC2B5B02233C1400AD7A3EC3720C110AE4721872233C1A0703D8A083620C150B81E85172233C100D7A3F02E3620C150B81E459E2133C1E0A370BDAF3620C110AE4721D42033C1803D0A57643720C110AE47610D1F33C1C0F528DC223820C1B047E17ABB1C33C1608FC2F52D3A20C1606666E6AA1833C180EB51389E3820C190C2F568111833C1A0703D0A9E3820C110D7A3F0C61733C1E0A370BD373920C1703D0A17341733C1E0A370BDD63920C190C2F5A8401633C1803D0AD7EA3A20C1400AD723621533C1803D0AD7513C20C1608FC2F5EA1333C100295C0F513D20C1000000C0521233C1205C8FC22C3E20C110AE47E15E1233C1C0CCCC4C983E20C1F0285CCF131233C1A09999992F3F20C18014AEC7FC1033C160B81E05B84020C1305C8F420C1033C1A0703D0AB54020C1F0285C8F9C0F33C1A0703D0ACE4020C1F0285C8F630F33C1A0703D0A324120C1305C8FC2060F33C1E0A3703D9A4120C1305C8FC2F10D33C140333333D74320C110D7A3702C0C33C100295C0F504420C1606666260A0C33C1A0999919714420C1A0999999B50B33C1608FC275DD4420C1E07A142E940B33C100295C8F094520C18014AE07600B33C160B81E05084620C1608FC2B5820A33C100295C8FCC4620C1608FC2F5D50A33C100295C8F084820C110AE4761B40933C1"
